,Brand,Year,Model,Car/Suv,Title,UsedOrNew,Transmission,Engine,DriveType,FuelType,FuelConsumption,Kilometres,ColourExtInt,Location,CylindersinEngine,BodyType,Doors,Seats,Price
1672,Nissan,2009.0,X-Trail,SUV,2009 Nissan X-Trail ST (4X4),USED,Automatic,"4 cyl, 2.5 L",4WD,Unleaded,9.3 L / 100 km,227332,- / -,"Avondale Heights, VIC",4 cyl,SUV, 4 Doors, 5 Seats,9999
1673,BMW,2019.0,X3,SUV,2019 BMW X3 Xdrive 30I,USED,Automatic,"4 cyl, 2 L",4WD,Premium,7.6 L / 100 km,44905,Black / Black,"Chatswood, NSW",4 cyl,SUV, 4 Doors, 5 Seats,54800
1674,Nissan,2014.0,Altima,Sedan,2014 Nissan Altima ST,USED,Automatic,"4 cyl, 2.5 L",Front,Unleaded,7.5 L / 100 km,181450,Blue / Grey,"Minchinbury, NSW",4 cyl,Sedan, 4 Doors, 5 Seats,14880
1675,Suzuki,2023.0,Swift,Westpoint Autos Nissan & Suzuki New Cars,2023 Suzuki Swift GL Navi,NEW,Automatic,"4 cyl, 1.2 L",Front,Unleaded,4.8 L / 100 km,20,Blue / Black,"Indooroopilly, QLD",4 cyl,Hatchback, 5 Doors, 5 Seats,27180
1676,Hyundai,2016.0,Tucson,SUV,2016 Hyundai Tucson Elite (awd),USED,Automatic,"4 cyl, 2 L",AWD,Diesel,6.8 L / 100 km,46698,White / Black,"Belconnen, ACT",4 cyl,SUV, 4 Doors, 5 Seats,29888
1677,Kia,2012.0,RIO,Hatchback,2012 Kia RIO SI,USED,Automatic,"4 cyl, 1.6 L",Front,Unleaded,6.1 L / 100 km,259000,- / -,"Greenslopes, QLD",4 cyl,Hatchback, 5 Doors, 5 Seats,9900
1678,Audi,2022.0,Q3,AUDI MORNINGTON,2022 Audi Q3 35 Tfsi,DEMO,Automatic,"4 cyl, 1.4 L",Front,Premium,7.2 L / 100 km,2828,Grey / Black,"Mornington, VIC",4 cyl,SUV, 4 Doors, 5 Seats,59990
1679,Mazda,2015.0,CX-5,SUV,2015 Mazda CX-5 Grand Tourer (4X4),USED,Automatic,"4 cyl, 2.5 L",AWD,Unleaded,7.4 L / 100 km,134505,White / Black,"Springwood, QLD",4 cyl,SUV, 4 Doors, 5 Seats,24998
1680,Porsche,2023.0,911,NEW Available to order,2023 Porsche 911 Carrera,NEW,Automatic,"6 cyl, 3 L",Rear,Premium,9.6 L / 100 km,- / -,3 years / Unlimited km,,6 cyl,Convertible, 2 Doors, 4 Seats,280700
1681,Isuzu,2023.0,FVL,NEW Available to order,2023 Isuzu FVL 240-300 (LWB),NEW,Manual,"6 cyl, 7.8 L",Rear,Diesel,0 L / 100 km,- / -,"6 years / 500,000 km",,6 cyl,Ute / Tray, 2 Doors, 3 Seats,195100
1682,Hyundai,2018.0,I30,Hatchback,2018 Hyundai I30 Active,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,7.4 L / 100 km,82117,White / Black,"Welshpool, WA",4 cyl,Hatchback, 4 Doors, 5 Seats,18950
1683,Toyota,2017.0,Camry,Sedan,2017 Toyota Camry Altise,USED,Automatic,"4 cyl, 2.5 L",Front,Unleaded,7.9 L / 100 km,174095,White / Grey,"Molendinar, QLD",4 cyl,Sedan, 4 Doors, 5 Seats,16990
1684,Jeep,2015.0,Grand,SUV,2015 Jeep Grand Cherokee Overland (4X4),USED,Automatic,"6 cyl, 3 L",4WD,Diesel,7.5 L / 100 km,155871,White / Black,"Ringwood, VIC",6 cyl,SUV, 4 Doors, 5 Seats,29999
1685,Toyota,2018.0,Kluger,SUV,2018 Toyota Kluger GXL (4X4),USED,Automatic,"6 cyl, 3.5 L",AWD,Unleaded,9.5 L / 100 km,50657,White / Black,"Blacktown, NSW",6 cyl,SUV, 4 Doors, 7 Seats,44990
1686,BMW,2018.0,X3,SUV,2018 BMW X3 Xdrive 30D,USED,Automatic,"6 cyl, 3 L",4WD,Diesel,6 L / 100 km,68335,White / -,"Mansfield, QLD",6 cyl,SUV, 4 Doors, 5 Seats,49800
1687,Subaru,2013.0,XV,Melbourne Automobiles Pty Ltd,2013 Subaru XV 2.0i-L EYE SIGHT HYBRID,USED,Automatic,-,Other,Unleaded,-,131926,White / Grey,"Braeside, VIC",-,Wagon,,,20888
1688,Kia,2017.0,Cerato,Hatchback,2017 Kia Cerato S,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,7.1 L / 100 km,127234,Silver / Grey,"Croydon, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,19990
1689,Kia,2020.0,Cerato,Sedan,2020 Kia Cerato S,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,7.4 L / 100 km,41000,White / -,"Port Melbourne, VIC",4 cyl,Sedan, 4 Doors, 5 Seats,25450
1690,Toyota,2017.0,Camry,Sedan,2017 Toyota Camry Altise,USED,Automatic,"4 cyl, 2.5 L",Front,Unleaded,7.9 L / 100 km,149988,Grey / -,"Pendle Hill, NSW",4 cyl,Sedan, 4 Doors, 5 Seats,19950
1691,Mitsubishi,2016.0,Triton,Ute / Tray,2016 Mitsubishi Triton GLX (4X4),USED,Automatic,"4 cyl, 2.4 L",4WD,Diesel,7.6 L / 100 km,205434,White / -,"Cardiff, NSW",4 cyl,Ute / Tray, 4 Doors, 5 Seats,22913
1692,Hyundai,2022.0,I30,Hatchback,2022 Hyundai I30 Active,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,7.4 L / 100 km,11679,White / Black,"Pinkenba, QLD",4 cyl,Hatchback, 5 Doors, 5 Seats,27990
1693,Toyota,2021.0,Corolla,Hatchback,2021 Toyota Corolla Ascent Sport Hybrid,USED,Automatic,"4 cyl, 1.8 L",Front,Hybrid,4.2 L / 100 km,23010,Blue / Grey,"Brookvale, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,39888
1694,Jeep,2021.0,Compass,SUV,2021 Jeep Compass Launch Edition,USED,Automatic,"4 cyl, 2.4 L",Front,Unleaded,7.9 L / 100 km,32285,White / Black,"Hoppers Crossing, VIC",4 cyl,SUV, 4 Doors, 5 Seats,37990
1695,Jeep,2023.0,Compass,Newspot Jeep,2023 Jeep Compass Limited,NEW,Automatic,"4 cyl, 2.4 L",4WD,Unleaded,9.7 L / 100 km,5,- / -,"Salisbury Park, SA",4 cyl,SUV, 4 Doors, 5 Seats,51600
1696,Toyota,2015.0,Hilux,Ute / Tray,2015 Toyota Hilux SR (4X4),USED,Automatic,"4 cyl, 3 L",4WD,Diesel,9.3 L / 100 km,155573,White / -,"Cardiff, NSW",4 cyl,Ute / Tray, 4 Doors, 5 Seats,31913
1697,GWM,2022.0,Haval,Springwood GWM HAVAL,2022 GWM Haval H6GT LUX (2WD),NEW,Automatic,"4 cyl, 2 L",Front,Unleaded,7.5 L / 100 km,10,Blue / -,"Springwood, QLD",4 cyl,SUV, 4 Doors, 5 Seats,41485
1698,Porsche,2017.0,718,Convertible,2017 Porsche 718 Boxster,USED,Automatic,"4 cyl, 2 L",Rear,Unleaded,7 L / 100 km,43741,Black / -,"Artarmon, NSW",4 cyl,Convertible, 2 Doors, 2 Seats,102900
1699,MG,2021.0,ZST,SUV,2021 MG ZST Excite,USED,Automatic,"3 cyl, 1.3 L",Front,Unleaded,7.3 L / 100 km,23102,White / Black,"Pinkenba, QLD",3 cyl,SUV, 5 Doors, 5 Seats,26990
1700,Ineos,2023.0,Grenadier,NEW Available to order,2023 Ineos Grenadier Trialmaster Edition,NEW,Automatic,"6 cyl, 3 L",4WD,Diesel,10.5 L / 100 km,- / -,5 years / Unlimited km,,6 cyl,SUV, 4 Doors, 5 Seats,109525
1701,Hyundai,2022.0,I30,Sedan,2022 Hyundai I30 N Line Premium,USED,Automatic,"4 cyl, 1.6 L",Front,Unleaded,6.8 L / 100 km,12449,White / Black,"Epping, VIC",4 cyl,Sedan, 4 Doors, 5 Seats,42705
1702,MG,2022.0,HS,Alto North Shore MG,2022 MG HS Phev Essence,NEW,Automatic,"4 cyl, 1.5 L",Front,Hybrid,1.7 L / 100 km,-,Silver / Knight Black,"Artarmon, NSW",4 cyl,SUV, 4 Doors, 5 Seats,53690
1703,Renault,2023.0,Koleos,Macarthur Renault,2023 Renault Koleos Intens (4X2),NEW,Automatic,"4 cyl, 2.5 L",Front,Unleaded,8.1 L / 100 km,-,Grey / -,"Narellan, NSW",4 cyl,SUV, 4 Doors, 5 Seats,44888
1704,Mitsubishi,2019.0,ASX,SUV,2019 Mitsubishi ASX ES (2WD),USED,Automatic,"4 cyl, 2 L",Front,Unleaded,7.6 L / 100 km,74932,Grey / Grey,"Yallah, NSW",4 cyl,SUV, 4 Doors, 5 Seats,24950
1705,Toyota,2002.0,Landcruiser,SUV,2002 Toyota Landcruiser GXL (4X4),USED,Automatic,"6 cyl, 4.2 L",4WD,Diesel,0 L / 100 km,326200,Gold / Beige,"Prospect, SA",6 cyl,SUV, 4 Doors, 8 Seats,32999
1706,Holden,2017.0,Astra,Hatchback,2017 Holden Astra RS-V,USED,Manual,"4 cyl, 1.6 L",Front,Premium,6.5 L / 100 km,61395,Silver / -,"Rockingham, WA",4 cyl,Hatchback, 5 Doors, 5 Seats,22988
1707,Hyundai,2008.0,I30,Hatchback,2008 Hyundai I30 SLX,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,7.6 L / 100 km,198544,Blue / Grey,"Phillip, ACT",4 cyl,Hatchback, 5 Doors, 5 Seats,7888
1708,Ford,2010.0,Fiesta,Hatchback,2010 Ford Fiesta Econetic,USED,Manual,"4 cyl, 1.6 L",Front,Diesel,3.7 L / 100 km,279205,Silver / -,"Rosemount, QLD",4 cyl,Hatchback, 5 Doors, 5 Seats,4950
1709,Holden,2008.0,Calais,Sedan,2008 Holden Calais V,USED,Automatic,"8 cyl, 6 L",Rear,Premium,14.6 L / 100 km,184558,Grey / Black,"Frankston, VIC",8 cyl,Sedan, 4 Doors, 5 Seats,19240
1710,Subaru,2009.0,Impreza,Sedan,2009 Subaru Impreza R (awd),USED,Automatic,"4 cyl, 2 L",AWD,Premium,8.8 L / 100 km,215350,White / -,"Rosemount, QLD",4 cyl,Sedan, 4 Doors, 5 Seats,9500
1711,Mazda,2012.0,CX-9,SUV,2012 Mazda CX-9 Luxury (fwd),USED,Automatic,"6 cyl, 3.7 L",Front,Unleaded,11 L / 100 km,117088,Black / Black,"Ringwood, VIC",6 cyl,SUV, 4 Doors, 7 Seats,19888
1712,Ford,2018.0,Ranger,Ute / Tray,2018 Ford Ranger XLT 3.2 (4X4),USED,Automatic,"5 cyl, 3.2 L",4WD,Diesel,8.7 L / 100 km,159175,White / Grey,"Lilydale, VIC",5 cyl,Ute / Tray, 4 Doors, 5 Seats,45990
1713,MG,2023.0,ZST,Alto Blacktown MG,2023 MG ZST Core,NEW,Automatic,"4 cyl, 1.5 L",Front,-,6.9 L / 100 km,15,Silver / Black & Grey Cloth,"Blacktown, NSW",4 cyl,SUV, 5 Doors, 5 Seats,27690
1714,Mitsubishi,2022.0,Triton,Ute / Tray,2022 Mitsubishi Triton GLS (4X4),USED,Automatic,"4 cyl, 2.4 L",4WD,Diesel,8.6 L / 100 km,21366,Grey / -,"Campbelltown, NSW",4 cyl,Ute / Tray, 4 Doors, 5 Seats,50990
1715,Holden,2016.0,Captiva,SUV,2016 Holden Captiva 7 LS (fwd),USED,Automatic,"4 cyl, 2.4 L",Front,Unleaded,9 L / 100 km,156652,White / -,"Lambton, NSW",4 cyl,SUV, 4 Doors, 7 Seats,12990
1716,Toyota,2017.0,Corolla,Hatchback,2017 Toyota Corolla Ascent,USED,Automatic,"4 cyl, 1.8 L",Front,Unleaded,6.1 L / 100 km,69434,White / -,"Coburg North, VIC",4 cyl,Hatchback, 5 Doors, 5 Seats,23990
1717,Daihatsu,2022.0,Hijet,Just Jap - Cars,2022 Daihatsu Hijet,USED,Manual,-,Rear,Premium,-,35,Green / -,"Kirrawee, NSW",-,Ute / Tray, 2 Seats,,24999
1718,Mercedes-Benz,2017.0,C43,Sedan,2017 Mercedes-Benz C43,USED,Automatic,"6 cyl, 3 L",AWD,Premium,8.2 L / 100 km,66025,Grey / Black,"Five Dock, NSW",6 cyl,Sedan, 4 Doors, 5 Seats,59900
1719,Toyota,2017.0,Hilux,Ute / Tray,2017 Toyota Hilux SR HI-Rider,USED,Automatic,"4 cyl, 2.8 L",Rear,Diesel,7.3 L / 100 km,39229,White / Grey,"Padstow, NSW",4 cyl,Ute / Tray, 2 Doors, 4 Seats,41990
1720,Toyota,2023.0,RAV4,NEW Available to order,2023 Toyota RAV4 GX (awd) Hybrid,NEW,Automatic,"4 cyl, 2.5 L",AWD,Hybrid,4.8 L / 100 km,- / -,5 years / Unlimited km,,4 cyl,SUV, 5 Doors, 5 Seats,42050
1721,Honda,2011.0,CR-Z,Coupe,2011 Honda CR-Z Luxury Hybrid,USED,Automatic,"4 cyl, 1.5 L",Front,Hybrid,4.7 L / 100 km,168753,Black / -,"Underwood, QLD",4 cyl,Coupe, 2 Doors, 4 Seats,14450
1722,Volvo,2017.0,V40,Hatchback,2017 Volvo V40 T4 Inscription,USED,Automatic,"4 cyl, 2 L",Front,Premium,5.6 L / 100 km,28180,Blue / Black,"Chermside, QLD",4 cyl,Hatchback, 5 Doors, 5 Seats,25999
1723,Nissan,2022.0,Z,Coupe,2022 Nissan Z Proto,USED,Automatic,"6 cyl, 3 L",Rear,Premium,9.8 L / 100 km,1945,Yellow / Black/Ikazuchi Yellow Cloth,"Burwood, VIC",6 cyl,Coupe, 2 Doors, 2 Seats,92888
1724,Land,2023.0,Rover,NEW Available to order,2023 Land Rover Range Rover Sport P530 First Edition (390KW),NEW,Automatic,"8 cyl, 4.4 L",AWD,Premium,11.8 L / 100 km,- / -,5 years / Unlimited km,,8 cyl,SUV, 4 Doors, 5 Seats,241021
1725,Mercedes-Benz,2019.0,GLE450,SUV,2019 Mercedes-Benz GLE450 4Matic,USED,Automatic,"6 cyl, 3 L",AWD,Hybrid,9.1 L / 100 km,42903,White / Black,"Deer Park, VIC",6 cyl,SUV, 4 Doors, 5 Seats,127990
1726,Toyota,2023.0,RAV4,SUV,2023 Toyota RAV4 Cruiser (2WD) Hybrid,USED,Automatic,"4 cyl, 2.5 L",Front,Hybrid,4.8 L / 100 km,100,Black / -,"Morley, WA",4 cyl,SUV, 5 Doors, 5 Seats,67888
1727,Mitsubishi,2023.0,Triton,Ute / Tray,2023 Mitsubishi Triton GLX (4X4),USED,Automatic,"4 cyl, 2.4 L",4WD,Diesel,8.6 L / 100 km,67,White / -,"Ryde, NSW",4 cyl,Ute / Tray, 4 Doors, 5 Seats,44480
1728,Isuzu,2015.0,D-MAX,Ute / Tray,2015 Isuzu D-MAX SX (4X2),USED,Automatic,"4 cyl, 3 L",Rear,Diesel,8 L / 100 km,233000,Orange / -,"Lidcombe, NSW",4 cyl,Ute / Tray, 4 Doors, 5 Seats,16500
1729,Lexus,2021.0,NX350,SUV,2021 Lexus NX350 F Sport + EP1 AWD,USED,Automatic,"4 cyl, 2.4 L",AWD,Premium,8.1 L / 100 km,8309,Grey / -,"Osborne Park, WA",4 cyl,SUV, 4 Doors, 5 Seats,83999
1730,Toyota,2014.0,Corolla,Sedan,2014 Toyota Corolla ZR,USED,Automatic,"4 cyl, 1.8 L",Front,Unleaded,6.6 L / 100 km,157501,Grey / -,"Minchinbury, NSW",4 cyl,Sedan, 4 Doors, 5 Seats,16990
1731,Mazda,2022.0,CX-5,SUV,2022 Mazda CX-5 GT SP Turbo (awd),USED,Automatic,"4 cyl, 2.5 L",AWD,Unleaded,8.2 L / 100 km,7492,Grey / -,"Liverpool, NSW",4 cyl,SUV, 4 Doors, 5 Seats,55667
1732,Hyundai,2014.0,I20,Hatchback,2014 Hyundai I20 Active,USED,Automatic,"4 cyl, 1.4 L",Front,Unleaded,5.9 L / 100 km,178545,White / -,"Rocklea, QLD",4 cyl,Hatchback, 3 Doors, 5 Seats,10505
1733,Ford,2016.0,Ranger,Ute / Tray,2016 Ford Ranger XLS 3.2 (4X4),USED,Automatic,"5 cyl, 3.2 L",4WD,Diesel,9.2 L / 100 km,105717,Grey / Black,"Port Macquarie, NSW",5 cyl,Ute / Tray, 4 Doors, 5 Seats,37990
1734,Volkswagen,2017.0,Polo,Hatchback,2017 Volkswagen Polo Urban (66Tsi),USED,Manual,"4 cyl, 1.2 L",Front,Premium,4.8 L / 100 km,24842,White / Black,"Chatswood, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,19880
1735,Mitsubishi,2019.0,Eclipse,SUV,2019 Mitsubishi Eclipse Cross LS (2WD),USED,Automatic,"4 cyl, 1.5 L",Front,Unleaded,7.3 L / 100 km,60972,Silver / -,"Alexandria, NSW",4 cyl,SUV, 4 Doors, 5 Seats,28990
1736,Mercedes-Benz,2015.0,GLE350,SUV,2015 Mercedes-Benz GLE350 D,USED,Automatic,"6 cyl, 3 L",AWD,Diesel,6.6 L / 100 km,96622,Grey / -,"Keilor East, VIC",6 cyl,SUV, 4 Doors, 5 Seats,53490
1737,Toyota,2019.0,RAV4,SUV,2019 Toyota RAV4 GX (2WD),USED,Automatic,"4 cyl, 2 L",Front,Unleaded,6.5 L / 100 km,97790,White / Grey,"Pakenham, VIC",4 cyl,SUV, 5 Doors, 5 Seats,36990
1738,Hyundai,2019.0,I30,Hatchback,2019 Hyundai I30 N Line,USED,Automatic,"4 cyl, 1.6 L",Front,Unleaded,7.1 L / 100 km,49655,White / -,"Bentley, WA",4 cyl,Hatchback, 4 Doors, 5 Seats,30968
1739,Mercedes-Benz,2009.0,CLC200,Coupe,2009 Mercedes-Benz CLC200 Kompressor Evolution,USED,Automatic,"4 cyl, 1.8 L",Rear,Premium,9 L / 100 km,111873,Grey / -,"Brookvale, NSW",4 cyl,Coupe, 2 Doors, 4 Seats,14990
1740,Honda,2018.0,Other,Australian Motor Traders,2018 Honda Other,USED,Automatic,-,Front,Premium,-,79997,Black / -,"Haberfield, NSW",-,Hatchback, 5 Seats,,24995
1741,Kia,2016.0,Carnival,Wagon,2016 Kia Carnival Platinum,USED,Automatic,"4 cyl, 2.2 L",Front,Diesel,7.7 L / 100 km,133561,Blue / -,"Buderim, QLD",4 cyl,Wagon, 4 Doors, 8 Seats,35111
1742,Toyota,2017.0,Corolla,Sedan,2017 Toyota Corolla Ascent,USED,Automatic,"4 cyl, 1.8 L",Front,Unleaded,6.6 L / 100 km,50401,White / Black,"Brighton, VIC",4 cyl,Sedan, 4 Doors, 5 Seats,25990
1743,Subaru,2019.0,Outback,SUV,2019 Subaru Outback 2.0D,USED,Automatic,"4 cyl, 2 L",AWD,Diesel,6.3 L / 100 km,45258,White / Grey,"Swan Hill, VIC",4 cyl,SUV, 4 Doors, 5 Seats,34880
1744,LDV,2023.0,Deliver,NEW Available to order,2023 LDV Deliver 9 LWB High Roof 14 Seat,NEW,Automatic,"3 cyl, 2 L",Rear,Diesel,0 L / 100 km,- / -,"3 years / 160,000 km",,3 cyl,Other, 2 Doors, 14 Seats,64200
1745,Ford,2021.0,Puma,SUV,2021 Ford Puma ST-Line V,USED,Automatic,"3 cyl, 1 L",Front,Premium,5.3 L / 100 km,21154,Red / -,"Wodonga, VIC",3 cyl,SUV, 5 Doors, 5 Seats,36990
1746,Mazda,2007.0,CX-9,SUV,2007 Mazda CX-9 Luxury,USED,Automatic,"6 cyl, 3.7 L",4WD,Unleaded,13 L / 100 km,202478,Grey / -,"Saint Marys, NSW",6 cyl,SUV, 4 Doors, 7 Seats,11777
1747,Nissan,2015.0,Pathfinder,SUV,2015 Nissan Pathfinder ST-L (4X2),USED,Automatic,"6 cyl, 3.5 L",Front,Premium,9.9 L / 100 km,100635,Silver / Black,"Ringwood, VIC",6 cyl,SUV, 4 Doors, 7 Seats,28999
1748,Holden,2016.0,Commodore,Sedan,2016 Holden Commodore SV6 Reserve Edition,USED,Automatic,"6 cyl, 3.6 L",Rear,Unleaded,9.5 L / 100 km,148348,Red / -,"Boolaroo, NSW",6 cyl,Sedan, 4 Doors, 5 Seats,21800
1749,Holden,2018.0,Commodore,Hatchback,2018 Holden Commodore LT (5YR),USED,Automatic,"4 cyl, 2 L",Front,Premium,7.4 L / 100 km,85908,White / 2019/01,"Thornbury, VIC",4 cyl,Hatchback, 5 Doors, 5 Seats,21950
1750,Lexus,2006.0,RX350,SUV,2006 Lexus RX350 Sports Luxury,USED,Automatic,"6 cyl, 3.5 L",4WD,Unleaded,17.2 L / 100 km,199571,White / -,"Auburn, NSW",6 cyl,SUV, 4 Doors, 5 Seats,10990
1751,Ford,2008.0,Ranger,Ute / Tray,2008 Ford Ranger XLT (4X4),USED,Automatic,"4 cyl, 3 L",4WD,Diesel,9.3 L / 100 km,217000,- / -,"Brooklyn, VIC",4 cyl,Ute / Tray, 4 Doors, 4 Seats,14999
1752,Kia,2019.0,RIO,Hatchback,2019 Kia RIO S,USED,Automatic,"4 cyl, 1.4 L",Front,Unleaded,6.2 L / 100 km,44619,Silver / Grey,"Essendon Fields, VIC",4 cyl,Hatchback, 5 Doors, 5 Seats,20868
1753,Volkswagen,2018.0,Tiguan,SUV,2018 Volkswagen Tiguan 162 TSI Highline,USED,Automatic,"4 cyl, 2 L",AWD,Premium,8.1 L / 100 km,61456,White / Black,"Maddington, WA",4 cyl,SUV, 4 Doors, 5 Seats,42867
1754,BMW,2018.0,X1,SUV,2018 BMW X1 Xdrive 25I,USED,Automatic,"4 cyl, 2 L",AWD,Premium,6.6 L / 100 km,47799,Blue / -,"Rozelle, NSW",4 cyl,SUV, 4 Doors, 5 Seats,45800
1755,Toyota,2015.0,Prius-C,Hatchback,2015 Toyota Prius-C I-Tech Hybrid,USED,Automatic,"4 cyl, 1.5 L",Front,Hybrid,3.9 L / 100 km,39807,White / -,"Osborne Park, WA",4 cyl,Hatchback, 5 Doors, 5 Seats,26990
1756,Hyundai,2016.0,I30,Hatchback,2016 Hyundai I30 Active,USED,Automatic,"4 cyl, 1.8 L",Front,Unleaded,7.3 L / 100 km,72363,White / -,"Liverpool, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,19990
1757,Holden,2014.0,Captiva,SUV,2014 Holden Captiva 7 LT (4X4),USED,Automatic,"6 cyl, 3 L",AWD,Unleaded,10.1 L / 100 km,67968,Red / -,"Kenwick, WA",6 cyl,SUV, 4 Doors, 7 Seats,13990
1758,Land,2007.0,Rover,JPM MOTORS,2007 Land Rover Range Rover Vogue L322 Super Charged Wagon 4dr Spts Auto 6sp 4x4 5.0S,USED,Automatic,-,AWD,Unleaded,-,259083,Black / -,"Maddington, WA",-,Wagon,,,19990
1759,Hyundai,2011.0,I30,Wagon,2011 Hyundai I30 CW SX 1.6 Crdi,USED,Manual,"4 cyl, 1.6 L",Front,Diesel,4.7 L / 100 km,181225,Blue / -,"Lambton, NSW",4 cyl,Wagon, 4 Doors, 5 Seats,7990
1760,Toyota,2006.0,Estima,UniBee Australia,2006 Toyota Estima Aeras,USED,Automatic,-,Other,Unleaded,-,104172,White / Grey,"Dandenong, VIC",-,Wagon,,,17690
1761,Toyota,2022.0,Kluger,Mornington Toyota,2022 Toyota Kluger GXL eFour,USED,Automatic,-,Other,Premium,-,18705,White / Black,"Mornington, VIC",-,Wagon,,,79990
1762,Volvo,2016.0,XC60,SUV,2016 Volvo XC60 T6 R-Design,USED,Automatic,"4 cyl, 2 L",AWD,Premium,8.1 L / 100 km,95605,Black / Black,"Thomastown, VIC",4 cyl,SUV, 4 Doors, 5 Seats,35950
1763,Toyota,2019.0,C-HR,SUV,2019 Toyota C-HR Koba (2WD),USED,Automatic,"4 cyl, 1.2 L",Front,Premium,5.5 L / 100 km,50069,Yellow / Slate,"Fawkner, VIC",4 cyl,SUV, 4 Doors, 5 Seats,34990
1764,Mazda,2017.0,CX-5,SUV,2017 Mazda CX-5 Touring (4X4),USED,Automatic,"4 cyl, 2.5 L",AWD,Unleaded,7.5 L / 100 km,65969,Black / Black Cloth,"Lilydale, VIC",4 cyl,SUV, 4 Doors, 5 Seats,34999
1765,Ford,2016.0,Kuga,SUV,2016 Ford Kuga Titanium (awd),USED,Automatic,"4 cyl, 2 L",AWD,Diesel,5.6 L / 100 km,156832,Grey / Black,"Seymour, VIC",4 cyl,SUV, 4 Doors, 5 Seats,18990
1766,Mazda,2023.0,CX-5,Liverpool Mazda New Cars,2023 Mazda CX-5 Maxx Sport (awd),NEW,Automatic,"4 cyl, 2.5 L",AWD,Unleaded,7.5 L / 100 km,4,Red / -,"Liverpool, NSW",4 cyl,SUV, 4 Doors, 5 Seats,47162
1767,Volkswagen,2017.0,Caddy,Commercial,2017 Volkswagen Caddy Maxi VAN TDI250,USED,Automatic,"4 cyl, 2 L",Front,Diesel,5.3 L / 100 km,116994,White / Grey,"Myaree, WA",4 cyl,Commercial, 4 Doors, 2 Seats,27888
1768,Toyota,2004.0,Landcruiser,SUV,2004 Toyota Landcruiser GXL (4X4),USED,Automatic,"8 cyl, 4.7 L",4WD,Unleaded,0 L / 100 km,329187,Silver / -,"Penrith, NSW",8 cyl,SUV, 4 Doors, 8 Seats,19950
1769,Mazda,2011.0,CX-9,SUV,2011 Mazda CX-9 Classic (fwd),USED,Automatic,"6 cyl, 3.7 L",Front,Unleaded,11 L / 100 km,187875,Silver / -,"Kelmscott, WA",6 cyl,SUV, 4 Doors, 7 Seats,15699
1770,Subaru,2009.0,Forester,SUV,2009 Subaru Forester X,USED,Manual,"4 cyl, 2.5 L",AWD,Unleaded,9.3 L / 100 km,166503,Grey / Grey,"Ringwood, VIC",4 cyl,SUV, 4 Doors, 5 Seats,14990
1771,Mercedes-Benz,2019.0,X250,Ute / Tray,2019 Mercedes-Benz X250 D Power (4Matic),USED,Automatic,"4 cyl, 2.3 L",4WD,Diesel,7.9 L / 100 km,54102,Grey / Black,"SOUTH MORANG, VIC",4 cyl,Ute / Tray, 4 Doors, 5 Seats,48600
1772,Mitsubishi,2020.0,Outlander,SUV,2020 Mitsubishi Outlander LS 7 Seat (2WD),USED,Automatic,"4 cyl, 2.4 L",Front,Unleaded,7.2 L / 100 km,96427,White / -,"Morningside, QLD",4 cyl,SUV, 4 Doors, 7 Seats,28990
1773,Hyundai,2013.0,I40,Wagon,2013 Hyundai I40 Elite,USED,Automatic,"4 cyl, 1.7 L",Front,Diesel,6 L / 100 km,258096,White / -,"Campbelltown, NSW",4 cyl,Wagon, 4 Doors, 5 Seats,10900
1774,Kia,2015.0,Sorento,SUV,2015 Kia Sorento Platinum (4X4),USED,Automatic,"4 cyl, 2.2 L",AWD,Diesel,7.8 L / 100 km,190435,Grey / Black,"Wodonga, VIC",4 cyl,SUV, 4 Doors, 7 Seats,23990
1775,Nissan,2019.0,Qashqai,SUV,2019 Nissan Qashqai ST,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,6.9 L / 100 km,84741,White / Black,"Hendra, QLD",4 cyl,SUV, 4 Doors, 5 Seats,22492
1776,Holden,2010.0,Commodore,Sedan,2010 Holden Commodore Omega,USED,Automatic,"6 cyl, 3 L",Rear,Unleaded,9.3 L / 100 km,171043,Silver / -,"Derwent Park, TAS",6 cyl,Sedan, 4 Doors, 5 Seats,8995
1777,Porsche,2014.0,Panamera,Sedan,2014 Porsche Panamera Diesel,USED,Automatic,"6 cyl, 3 L",Rear,Diesel,6.5 L / 100 km,78200,"White / Partial Leather Interior, Black","Nedlands, WA",6 cyl,Sedan, 4 Doors, 4 Seats,84900
1778,Ford,2018.0,Ranger,Ute / Tray,2018 Ford Ranger XLT 3.2 (4X4),USED,Automatic,"5 cyl, 3.2 L",4WD,Diesel,8.7 L / 100 km,86572,Black / Beige,"Phillip, ACT",5 cyl,Ute / Tray, 4 Doors, 5 Seats,42990
